precio_cop,area_m2,habitaciones,banos,estrato,parqueaderos,antiguedad_anos,conjunto_cerrado,tipo_inmueble,dist_aeropuerto_km,dist_centro_km,dist_san_nicolas_km,barrio,fuente
1400000000.0,119.0,2,2,4,2,,si,apartamento,3.085,8.647,8.544,rionegro,metrocuadrado
2200000000.0,320.0,4,3,,2,,no,casa_campestre,5.523,0.768,0.836,rionegro,ciencuadras
3250000000.0,423.0,4,5,5,4,,si,casa,3.284,6.061,6.021,rionegro,ciencuadras
650000000.0,79.0,3,2,6,1,,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
620000000.0,79.0,3,2,5,1,1,no,apartamento,5.6,0.022,0.139,liborio mejia,ciencuadras
2400000000.0,215.0,3,3,5,1,,si,casa,6.431,6.02,6.055,rionegro,metrocuadrado
530000000.0,60.0,2,2,6,2,,no,apartamento,6.185,2.714,2.792,san antonio,ciencuadras
560000000.0,67.0,2,2,6,1,,no,apartamento,5.6,0.022,0.139,liborio mejia,ciencuadras
2200000000.0,350.0,4,3,4,2,,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
3000000000.0,127.0,3,3,5,1,,si,casa,6.206,1.858,1.955,rionegro,ciencuadras
680000000.0,60.0,1,2,6,1,,si,apartamento,4.45,4.144,4.147,rionegro,ciencuadras
2850000000.0,381.0,3,4,5,5,,si,casa,1.522,6.893,6.806,rionegro,ciencuadras
1200000000.0,170.0,4,4,6,2,,no,casa,5.6,0.022,0.139,liborio mejia,lonja_propiedad_raiz
570000000.0,73.0,3,2,4,1,,no,apartamento,7.788,2.193,2.3,monseñor alfonso uribe jaramillo,ciencuadras
3200000000.0,450.0,5,7,5,3,,no,casa,4.499,3.931,3.936,rionegro,ciencuadras
620000000.0,60.0,1,2,5,1,1,si,apartamento,4.739,0.943,0.823,liborio mejia,lonja_propiedad_raiz
1100000000.0,168.0,3,4,5,2,,si,casa,4.749,3.308,3.324,rionegro,lonja_propiedad_raiz
340000000.0,60.0,3,2,3,1,1,si,apartamento,5.523,0.768,0.836,rionegro,ciencuadras
285000000.0,55.0,2,2,4,,,si,apartamento,4.46,1.415,1.377,el porvenir,lonja_propiedad_raiz
650000000.0,67.0,2,2,2,1,,no,apartamento,7.446,1.869,1.953,rionegro,metrocuadrado
630000000.0,67.0,2,2,2,1,,no,apartamento,7.446,1.869,1.953,rionegro,metrocuadrado
680000000.0,68.0,2,2,4,1,,no,apartamento,7.446,1.869,1.953,rionegro,lonja_propiedad_raiz
580000000.0,68.0,2,2,4,1,1,no,apartamento,5.095,0.898,0.907,el porvenir,ciencuadras
355000000.0,54.0,3,2,4,1,,si,apartamento,4.244,1.416,1.344,liborio mejia,lonja_propiedad_raiz
1300000000.0,96.0,2,3,5,2,1,no,apartamento,3.063,8.646,8.544,rionegro,metrocuadrado
280000000.0,48.41,3,2,4,1,,no,apartamento,8.18,2.587,2.694,rionegro,metrocuadrado
606000000.0,66.0,2,2,5,1,1,no,apartamento,5.992,3.268,3.331,san antonio,metrocuadrado
330000000.0,56.0,3,2,3,1,,no,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
260000000.0,56.0,2,2,3,,12,no,apartamento,4.817,1.237,1.112,liborio mejia,metrocuadrado
690000000.0,74.0,2,2,,3,,si,casa_campestre,7.858,4.767,4.704,rionegro,ciencuadras
1390000000.0,235.0,5,5,1,2,,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
1250000000.0,150.0,3,4,5,1,,no,casa,6.119,2.864,2.938,san antonio,lonja_propiedad_raiz
950000000.0,220.0,4,5,5,2,,no,casa,3.264,2.775,2.719,el porvenir,metrocuadrado
1450000000.0,396.0,4,5,4,2,26,si,casa,5.615,2.293,2.353,san antonio,ciencuadras
390000000.0,88.0,3,2,5,1,,si,apartamento,5.071,0.588,0.467,liborio mejia,ciencuadras
310000000.0,48.0,2,2,4,,,no,apartamento,4.223,1.864,1.833,el porvenir,ciencuadras
660000000.0,76.0,2,2,4,1,,no,apartamento,6.273,1.095,1.216,monseñor alfonso uribe jaramillo,lonja_propiedad_raiz
448000000.0,82.0,2,2,5,1,,si,apartamento,5.364,2.667,2.712,san antonio,metrocuadrado
385000000.0,69.0,3,2,5,1,,si,apartamento,3.329,2.653,2.596,el porvenir,ciencuadras
